DATE,Close
2017/1/3,3135.92 
2017/1/4,3158.79 
2017/1/5,3165.41 
2017/1/6,3154.32 
2017/1/9,3171.24 
2017/1/10,3161.67 
2017/1/11,3136.75 
2017/1/12,3119.29 
2017/1/13,3112.76 
2017/1/16,3103.43 
2017/1/17,3108.77 
2017/1/18,3113.01 
2017/1/19,3101.30 
2017/1/20,3123.14 
2017/1/23,3136.77 
2017/1/24,3142.55 
2017/1/25,3149.55 
2017/1/26,3159.17 
2017/2/3,3140.17 
2017/2/6,3156.98 
2017/2/7,3153.09 
2017/2/8,3166.98 
2017/2/9,3183.18 
2017/2/10,3196.70 
2017/2/13,3216.84 
2017/2/14,3217.93 
2017/2/15,3212.99 
2017/2/16,3229.62 
2017/2/17,3202.08 
2017/2/20,3239.96 
2017/2/21,3253.33 
2017/2/22,3261.22 
2017/2/23,3251.38 
2017/2/24,3253.43 
2017/2/27,3228.66 
2017/2/28,3241.73 
2017/3/1,3246.93 
2017/3/2,3230.03 
2017/3/3,3218.31 
2017/3/6,3233.87 
2017/3/7,3242.41 
2017/3/8,3240.66 
2017/3/9,3216.75 
2017/3/10,3212.76 
2017/3/13,3237.02 
2017/3/14,3239.33 
2017/3/15,3241.76 
2017/3/16,3268.94 
2017/3/17,3237.45 
2017/3/20,3250.81 
2017/3/21,3261.61 
2017/3/22,3245.22 
2017/3/23,3248.55 
2017/3/24,3269.45 
2017/3/27,3266.96 
2017/3/28,3252.95 
2017/3/29,3241.31 
2017/3/30,3210.24 
2017/3/31,3222.51 
2017/4/5,3270.31 
2017/4/6,3281.00 
2017/4/7,3286.62 
2017/4/10,3269.39 
2017/4/11,3288.97 
2017/4/12,3273.83 
2017/4/13,3275.96 
2017/4/14,3246.07 
2017/4/17,3222.17 
2017/4/18,3196.71 
2017/4/19,3170.69 
2017/4/20,3172.10 
2017/4/21,3173.15 
2017/4/24,3129.53 
2017/4/25,3134.57 
2017/4/26,3140.85 
2017/4/27,3152.19 
2017/4/28,3154.66 
2017/5/2,3143.71 
2017/5/3,3135.35 
2017/5/4,3127.37 
2017/5/5,3103.04 
2017/5/8,3078.61 
2017/5/9,3080.53 
2017/5/10,3052.78 
2017/5/11,3061.50 
2017/5/12,3083.51 
2017/5/15,3090.23 
2017/5/16,3112.96 
2017/5/17,3104.44 
2017/5/18,3090.14 
2017/5/19,3090.63 
2017/5/22,3075.68 
2017/5/23,3061.95 
2017/5/24,3064.08 
2017/5/25,3107.83 
2017/5/26,3110.06 
2017/5/31,3117.18 
2017/6/1,3102.62 
2017/6/2,3105.54 
2017/6/5,3091.66 
2017/6/6,3102.13 
2017/6/7,3140.32 
2017/6/8,3150.33 
2017/6/9,3158.40 
2017/6/12,3139.88 
2017/6/13,3153.74 
2017/6/14,3130.67 
2017/6/15,3132.49 
2017/6/16,3123.17 
2017/6/19,3144.37 
2017/6/20,3140.01 
2017/6/21,3156.21 
2017/6/22,3147.45 
2017/6/23,3157.87 
2017/6/26,3185.44 
2017/6/27,3191.20 
2017/6/28,3173.20 
2017/6/29,3188.06 
2017/6/30,3192.43 
2017/7/3,3195.91 
2017/7/4,3182.80 
2017/7/5,3207.13 
2017/7/6,3212.44 
2017/7/7,3217.96 
2017/7/10,3212.63 
2017/7/11,3203.04 
2017/7/12,3197.54 
2017/7/13,3218.16 
2017/7/14,3222.42 
2017/7/17,3176.46 
2017/7/18,3187.57 
2017/7/19,3230.98 
2017/7/20,3244.86 
2017/7/21,3237.98 
2017/7/24,3250.60 
2017/7/25,3243.69 
2017/7/26,3247.67 
2017/7/27,3249.78 
2017/7/28,3253.24 
2017/7/31,3273.03 
2017/8/1,3292.64 
2017/8/2,3285.06 
2017/8/3,3272.93 
2017/8/4,3262.08 
2017/8/7,3279.46 
2017/8/8,3281.87 
2017/8/9,3275.57 
2017/8/10,3261.75 
2017/8/11,3208.54 
2017/8/14,3237.36 
2017/8/15,3251.26 
2017/8/16,3246.45 
2017/8/17,3268.43 
2017/8/18,3268.72 
2017/8/21,3286.91 
2017/8/22,3290.23 
2017/8/23,3287.70 
2017/8/24,3271.51 
2017/8/25,3331.52 
2017/8/28,3362.65 
2017/8/29,3365.23 
2017/8/30,3363.63 
2017/8/31,3360.81 
2017/9/1,3367.12 
2017/9/4,3379.58 
2017/9/5,3384.32 
2017/9/6,3385.39 
2017/9/7,3365.50 
2017/9/8,3365.24 
2017/9/11,3376.42 
2017/9/12,3379.49 
2017/9/13,3384.15 
2017/9/14,3371.43 
2017/9/15,3353.62 
2017/9/18,3362.86 
2017/9/19,3356.84 
2017/9/20,3366.00 
2017/9/21,3357.81 
2017/9/22,3352.53 
2017/9/25,3341.55 
2017/9/26,3343.58 
2017/9/27,3345.27 
2017/9/28,3339.64 
2017/9/29,3348.94 
